feature,judge_importance,fan_importance,difference,abs_difference
home_country_clean_Russia,0.00953523868506486,0.0019997238238053717,-0.007535514861259489,0.007535514861259489
ballroom_partner_Alan Bersten (Rashad Jennings week 9),0.007458851952060517,3.377506516177886e-05,-0.0074250768868987385,0.0074250768868987385
industry_clean_Racing Driver,0.00025462274789282913,0.007444351315759383,0.007189728567866554,0.007189728567866554
ballroom_partner_Jenna Johnson,0.006481809911800408,6.28130994436306e-05,-0.006418996812356777,0.006418996812356777
home_country_clean_Croatia,0.006375163861604528,1.255110756106022e-05,-0.0063626127540434676,0.0063626127540434676
home_country_clean_Wales,6.640783738711085e-05,0.0041307333075442775,0.004064325470157166,0.004064325470157166
ballroom_partner_Britt Stewart,0.004558954036249492,0.0006313665940976748,-0.003927587442151817,0.003927587442151817
industry_clean_Entrepreneur,0.003824719135406326,7.882368616117905e-06,-0.0038168367667902083,0.0038168367667902083
ballroom_partner_Maksim Chmerkoskiy,0.002705577484817359,0.006416986480358549,0.0037114089955411905,0.0037114089955411905
industry_clean_Sports Broadcaster,0.00014965037695036521,0.0036180304829129427,0.0034683801059625773,0.0034683801059625773
ballroom_partner_Tony Dovolani,0.011243351849919096,0.01468270307499957,0.0034393512250804753,0.0034393512250804753
industry_clean_Comedian,0.005037931615775761,0.008373832642111938,0.003335901026336177,0.003335901026336177
home_country_clean_Cuba,0.0,0.0032664960434776423,0.0032664960434776423,0.0032664960434776423
ballroom_partner_Sasha Farber,0.022752389473426074,0.01965292696741455,-0.003099462506011525,0.003099462506011525
home_country_clean_South Korea,0.0,0.0027504529475764873,0.0027504529475764873,0.0027504529475764873
home_country_clean_Italy,0.0036121091844993967,0.0011651639156226997,-0.002446945268876697,0.002446945268876697
ballroom_partner_Alec Mazo,0.002395522699001334,0.0,-0.002395522699001334,0.002395522699001334
ballroom_partner_Louis van Amstel,0.0019480082138744702,0.0042554074480586086,0.002307399234184138,0.002307399234184138
industry_clean_Model,0.008396967365581012,0.006203913767384999,-0.002193053598196012,0.002193053598196012
home_country_clean_Yugoslavia,0.001996154902772007,1.862987516102281e-09,-0.001996153039784491,0.001996153039784491
ballroom_partner_Karina Smirnoff,0.002838452559069346,0.004759714756924494,0.0019212621978551485,0.0019212621978551485
ballroom_partner_Gleb Savchenko,0.003028312469378136,0.0011776018194874704,-0.0018507106498906658,0.0018507106498906658
industry_clean_Fitness Instructor,0.003611730965304742,0.0018402489819438791,-0.0017714819833608629,0.0017714819833608629
home_country_clean_Brazil,2.4296552299586256e-05,0.001543903093510264,0.0015196065412106778,0.0015196065412106778
industry_clean_Motivational Speaker,0.001238716255244262,0.0027301414856533805,0.0014914252304091184,0.0014914252304091184
industry_clean_Con artist,0.0014018457726438244,0.0,-0.0014018457726438244,0.0014018457726438244
